brand,model,price,rating_num,ram_gb,harddisk_gb,screen_size,spec_score,cp_score
lenovo,Lenovo ThinkPad,419,4.6,8,256,14,2.1399999999999997,0.005107
asus,ASUS VivoBook Go 14,432.99,5,4,128,14,2.1500000000000004,0.004965
dell,Rugged 5414,415,4.4,8,256,14.1,2.06,0.004964
hp,HP 14 laptop,328.58,3.7,4,128,14,1.6300000000000001,0.004961
hp,Hp envy x360 13,399.99,4.3,8,128,13.3,1.9449999999999998,0.004863
acer,Acer Aspire 3,450,4.3,8,512,15.6,2.17,0.004822
lenovo,ideapad3i-14-i5,443,4.2,8,512,14,2.13,0.004808
hp,15-dy2035tg,423.99,4.3,8,256,15.6,2.02,0.004764
acer,A3SP14-31PT-37NV,426.64,4.5,8,128,14,2.025,0.004746
acer,null,419.98,4.6,4,128,14,1.9899999999999998,0.004738
lenovo,Lenovo Ideapad,360,3.7,4,256,15.6,1.705,0.004736
acer,AV14-51-58XZ,532.49,4.8,16,512,14,2.5199999999999996,0.004732
acer,CB317-1H-C6RK,328.67,3.5,4,128,17.3,1.55,0.004716
hp,EliteBook 845 G8,519.99,5,16,256,14,2.4499999999999997,0.004712
lenovo,Ideapad,429,4.3,8,256,15.6,2.02,0.004709
hp,Pavilion,439,4.4,8,256,15.6,2.06,0.004692
dell,i3493-3464BLK-PUS,399,4.3,4,128,14,1.8699999999999999,0.004687
dell,Inspiron,689.65,5,32,1024,15.6,3.2,0.00464
hp,"HP 17.3""",557,4.2,16,1024,17.3,2.58,0.004632
asus,Vivobook 15 F512DA,419.99,4.3,8,128,15.6,1.9449999999999998,0.004631
lenovo,82XQ001GUS,499,5,8,256,15.6,2.3,0.004609
lenovo,ThinkPad E570,369.95,3.5,8,256,15.6,1.7,0.004595
hp,null,553,4.1,16,1024,15.6,2.54,0.004593
acer,Aspire,449,4.4,8,256,15.6,2.06,0.004588
lenovo,130-15AST,399.99,4.2,4,128,15.6,1.83,0.004575
lenovo,T460,449,4,8,512,14,2.05,0.004566
asus,X555QA-CBA12A,399.99,4,8,128,15.6,1.825,0.004563
dell,Latitude 7420,544,5,16,256,14,2.4499999999999997,0.004504
hp,6M0Z7UA#ABA,520,4.3,16,512,15.6,2.32,0.004462
dell,Inspiron,993.23,5,64,2048,14,4.4,0.00443
dell,Inspiron,993.23,5,64,2048,14,4.4,0.00443
dell,3593,508.99,4.5,16,256,15.6,2.25,0.004421
hp,HP Envy,587.99,4.6,8,1024,14,2.59,0.004405
hp,i5 12th Gen 15-dy5399nr,527.15,4.3,16,512,15.6,2.32,0.004401
hp,HP,439,4.4,4,128,14,1.9100000000000001,0.004351
acer,Acer Chromebook 715,429.99,4.3,4,128,15.6,1.8699999999999999,0.004349
lenovo,ThinkPad,374.99,3.3,8,256,14,1.6199999999999999,0.00432
hp,null,504,4.3,8,512,15.6,2.17,0.004306
dell,Dell Inspiron 15 3525,1021.99,5,64,2048,15.6,4.4,0.004305
panasonic,Panasonic Toughbook,599.99,4.2,16,1024,13.1,2.58,0.0043
asus,Vivobook 14,479.99,4.4,8,256,14,2.06,0.004292
hp,Pavilion X360,499.99,4.6,8,256,14,2.1399999999999997,0.00428
asus,ASUS VivoBook,446.98,4.4,4,128,14,1.9100000000000001,0.004273
lenovo,Lenovo ThinkPad,499,4.2,8,512,14,2.13,0.004269
hp,HP ENVY,685,4.3,32,1024,15,2.92,0.004263
acer,null,429.98,4.2,4,128,15.6,1.83,0.004256
dell,Latitude 5430,499.99,3.8,16,512,14,2.12,0.00424
hp,AMD Ryzen 5,457.64,4.1,8,256,15.6,1.9399999999999997,0.004239
dell,Dell Latitude,545,5,8,256,13.3,2.3,0.00422
acer,Aspire 5,488.94,4.4,8,256,15.6,2.06,0.004213
dell,Dell Inspiron 15 3525 Laptop,971.04,4.1,64,2048,15.6,4.04,0.00416
dell,Dell Inspiron 15 Laptop,971.04,4.1,64,2048,15.6,4.04,0.00416
msi,Modern 14 B11MOU-1024,589.99,5,8,512,14,2.4499999999999997,0.004153
msi,Modern 14 B11MOU-1212,535.88,5,8,128,14,2.225,0.004152
lenovo,IdeaPad Flex 5i Chromebook,479,4.4,8,128,13.3,1.985,0.004144
acer,null,519,4.6,8,256,15.6,2.1399999999999997,0.004123
asus,VivoBook 16,561,4.6,8,512,16,2.2899999999999996,0.004082
dell,Inspiron 15 3530,1000,4.2,64,2048,15.6,4.08,0.00408
hp,HP Pavilion,514.99,4.5,8,256,14,2.1,0.004078
lenovo,Lenovo Flex 5 2 in 1,468,4.2,4,256,14,1.905,0.004071
lenovo,null,419,3.7,8,128,12.5,1.705,0.004069
asus,TP470EA-AS34T,460.48,4.3,4,128,14,1.8699999999999999,0.004061
acer,Nitro 5,1086.16,5,64,2048,15.6,4.4,0.004051
lenovo,81WE00EPUS,545,4.7,8,256,15.6,2.18,0.004
acer,A515-44-R41B,528.18,4.5,8,256,15.6,2.1,0.003976
asus,VivoBook 15.6,460,3.8,8,256,15.6,1.8199999999999998,0.003957
lenovo,Flex 5,539.99,4.2,16,256,14,2.1300000000000003,0.003945
dell,Latitude,1125,5,64,2048,15.6,4.4,0.003911
lenovo,Lenovo Ideapad,559.41,4.7,8,256,15.6,2.18,0.003897
microsoft,Surface Laptop Go 2,529,4.4,8,256,12.45,2.06,0.003894
lenovo,Lenovo 15.6,499,4.1,8,256,15.6,1.9399999999999997,0.003888
lenovo,"Lenovo 14"" Laptop",535.99,3.7,16,512,14,2.08,0.003881
hp,HP Pavilion,732,4.1,32,1024,15.6,2.84,0.00388
hp,HP 255 G5,429.99,3.6,8,128,15.6,1.665,0.003872
asus,Vivobook 15X,749.99,5,16,1024,15.6,2.9,0.003867
lenovo,null,587.55,3.8,8,1024,15.6,2.27,0.003864
dell,Inspiron 14 5425,542.95,4.1,8,512,14,2.09,0.003849
hp,Laptop,589,4.9,8,256,17,2.2600000000000002,0.003837
asus,Vivobook 15X,619.99,4.8,8,512,15.6,2.3699999999999997,0.003823
dell,Inspiron,649,4.7,16,512,15.6,2.48,0.003821
lenovo,IdeaPad,499.99,4.2,8,128,15.6,1.905,0.00381
hp,Pavilion,639.99,4.9,8,512,17.3,2.41,0.003766
dell,Inspiron,602,3.4,32,512,15.6,2.26,0.003754
acer,null,511.92,4,8,256,15.6,1.9,0.003712
asus,ASUS VivoBook 15,548,4.5,8,128,15.6,2.025,0.003695
hp,Pavilion x360,570,4.5,8,256,14,2.1,0.003684
dell,Dell Latitude 5520,1038.28,5,32,2048,15.6,3.8,0.00366
dell,Latitude 5420,988.99,4.5,64,1024,14,3.6,0.00364
hp,HP Laptop 17-cn0025nr,576.99,4.5,8,256,17.3,2.1,0.00364
msi,Modern 15 B7M-223US,799,5,16,1024,15.6,2.9,0.00363
dell,Inspiron,947.06,4,64,1024,14,3.4,0.00359
asus,VivoBook S15,606.15,4.3,8,512,15.6,2.17,0.00358
panasonic,Panasonic Toughbook,655.96,3.6,16,1024,14,2.3400000000000003,0.003567
msi,GF63 Thin,600.51,4.6,8,256,15.6,2.1399999999999997,0.003564
lenovo,Lenovo ideapad Flex 5,622.04,4.4,16,256,14,2.21,0.003553
panasonic,CF-53 MK4,658.94,3.6,16,1024,14,2.3400000000000003,0.003551
dell,Inspiron,649.99,3.5,16,1024,15.6,2.3000000000000003,0.003539
lenovo,Ideapad 3i,637.35,4.5,8,512,15.6,2.25,0.00353
hp,HP Pavilion x360,586.14,4.4,8,256,14,2.06,0.003515
hp,HP Pavilion x360,608,4.2,8,512,14,2.13,0.003503
asus,Vivobook 15,699.99,5,8,512,15.6,2.4499999999999997,0.0035
lenovo,null,689.99,4.5,16,512,14,2.4,0.003478
dell,Vostro 3510,751.06,5,16,512,15.6,2.5999999999999996,0.003462
lenovo,Lenovo Ideapad,550,4,8,256,15.6,1.9,0.003455
msi,Modern 14 C13M-621US,839.99,5,16,1024,14,2.9,0.003452
acer,null,493.49,3.5,8,256,17.3,1.7,0.003445
dell,Dell Latitude,529.95,4,8,128,14,1.825,0.003444
hp,15-eh2085cl,675,4.3,16,512,15.6,2.32,0.003437
lenovo,Lenovo Thinkpad,422,2.5,16,256,15.6,1.45,0.003436
asus,VivoBook S15,718.46,5,8,512,15.6,2.4499999999999997,0.00341
lenovo,Flex 15,659.9,4.5,8,512,15.6,2.25,0.00341
dell,Inspiron,880.62,4.5,32,1024,14,3,0.003407
dell,Latitude 5530,939.99,5,32,1024,15.6,3.2,0.003404
hp,null,709.99,4.5,16,512,15.6,2.4,0.00338
dell,Dell Inspiron,745.99,4.4,32,256,15.6,2.5100000000000002,0.003365
lenovo,Lenovo Ideapad,599,3.9,8,512,15.6,2.01,0.003356
asus,TAICHI21,462,3.5,4,128,11.6,1.55,0.003355
dell,Dell Latitude 5520,1037.99,4.2,32,2048,15.6,3.4800000000000004,0.003353
lenovo,null,849,4.8,16,1024,16,2.82,0.003322
microsoft,Surface Pro,624.99,4.4,8,256,12.3,2.06,0.003296
dell,Dell Inspiron 14 5000 5406,699,5,8,256,14,2.3,0.00329
hp,null,791.79,5,16,512,14,2.5999999999999996,0.003284
lenovo,Lenovo Thinkpad,469.99,3.1,8,256,12.5,1.54,0.003277
dell,Latitude 7410 Laptop,749.99,5,16,256,14,2.4499999999999997,0.003267
lenovo,IdeaPad Slim 7 Pro 14IHU5,711.99,4.3,16,512,14,2.32,0.003258
dell,Inspiron 5425 Laptop,800.19,5,16,512,14,2.5999999999999996,0.003249
acer,A514-55-545G,668.55,4.3,8,512,14,2.17,0.003246
dell,null,725,4,8,1024,15.6,2.35,0.003241
apple,MacBook Air,689.99,4.8,8,256,13.3,2.2199999999999998,0.003217
asus,FX506HF-ES51,699.99,4.5,8,512,15.6,2.25,0.003214
lenovo,ThinkPad E590,749.95,4.5,16,512,15.6,2.4,0.0032
dell,null,877.99,4,32,1024,14,2.8000000000000003,0.003189
dell,Latitude 3000,727.53,5,8,256,15.6,2.3,0.003161
dell,Dell Latitude,729,5,8,256,13.3,2.3,0.003155
acer,A517-52-75N6,699.99,4,16,512,17.3,2.2,0.003143
dell,Dell Latitude 9420,779.62,5,16,256,14,2.4499999999999997,0.003143
dell,Latitude,1085.99,4,64,1024,15.6,3.4,0.003131
dell,Latitude 5320 Laptop,740.98,5,8,256,13.3,2.3,0.003104
acer,CB514-1WT-33MW,719,5,8,128,14,2.225,0.003095
lenovo,Lenovo ThinkPad T14 Gen 3 AMD,1131.06,5,16,2048,14,3.5,0.003094
dell,Latitude,841.99,5,16,512,14,2.5999999999999996,0.003088
samsung,Galaxy Chromebook,643,4.2,8,256,13.3,1.98,0.003079
lenovo,null,689,3.8,16,512,14,2.12,0.003077
dell,Latitude,949,4.3,32,1024,15.6,2.92,0.003077
dell,Latitude,748.47,5,8,256,15.6,2.3,0.003073
msi,MSI GF63,729.99,4.1,16,512,15.6,2.2399999999999998,0.003069
lenovo,Lenovo 17.3 L,686.9,4.7,8,128,17.3,2.1050000000000004,0.003064
acer,Swift Go 14,762.19,4.3,16,512,14,2.32,0.003044
hp,HP ProBook,719.99,4.7,8,256,15.6,2.18,0.003028
dell,Latitude 5420,1419.92,4.7,64,2048,14,4.28,0.003014
dell,Dell Latitude 7000 E7470,524,2.8,16,256,14,1.5699999999999998,0.002996
asus,Vivobook 14X,819.99,5,8,512,14,2.4499999999999997,0.002988
asus,Vivobook S 16 Flip,699.99,4.1,8,512,16,2.09,0.002986
lenovo,Lenovo Ideapad,599.99,3.9,8,128,15.6,1.785,0.002975
dell,Latitude,873.93,5,16,512,15.6,2.5999999999999996,0.002975
dell,Dell Inspiron,598.99,3.7,8,256,13.3,1.78,0.002972
asus,ASUS VivoBook 15,772.2,4.6,8,512,15.6,2.2899999999999996,0.002966
dell,Latitude 3410,600.49,3.7,8,256,14,1.78,0.002964
dell,Latitude 7420 Laptop,879.84,5,16,512,14,2.5999999999999996,0.002955
dell,null,799,4,8,1024,15.6,2.35,0.002941
apple,MacBook Pro 13-inch,689.95,4.5,8,128,13.3,2.025,0.002935
gigabyte,G5 GD-51US123SH,698.25,3.6,16,512,15.6,2.04,0.002922
dell,N8P7J,890.77,5,16,512,15.6,2.5999999999999996,0.002919
lenovo,IdeaPad 5 14ITL05,699.99,3.6,16,512,14,2.04,0.002914
dell,Latitude,691.53,3.9,16,256,14,2.0100000000000002,0.002907
acer,AN515-58-57Y8,814.77,4.4,16,512,15.6,2.36,0.002897
asus,ASUS VivoBook S 15,848.88,5,8,512,15.6,2.4499999999999997,0.002886
asus,VivoBook S15,901.56,5,16,512,15.6,2.5999999999999996,0.002884
acer,Acer Aspire,659.98,4,8,256,15.6,1.9,0.002879
dell,Latitude,885.99,4.5,8,1024,15.6,2.55,0.002878
hp,HP Envy,849.49,4.6,16,512,15.6,2.4399999999999995,0.002872
asus,ASUS TUF Gaming F1,783.95,4.5,8,512,17.3,2.25,0.00287
acer,Nitro 5,1259,4.5,32,2048,17.3,3.5999999999999996,0.002859
asus,ZenBook Flip 13,769.99,4,16,512,13.3,2.2,0.002857
lenovo,Lenovo Yoga 7i,682,4.1,8,256,16,1.9399999999999997,0.002845
lenovo,Yoga 710,699.99,4.2,8,256,15.6,1.98,0.002829
microsoft,Laptop 4 15 R7se/8GB/512GB Platinum,858.98,4.9,8,512,15,2.41,0.002806
hp,HP Victus,699,3.4,16,512,15.6,1.9600000000000002,0.002804
dell,Latitude 5000,876.02,5,16,256,14,2.4499999999999997,0.002797
lenovo,C470-14,739.99,4.4,8,256,14,2.06,0.002784
lenovo,ThinkPad W540,599.95,3.4,8,256,15.6,1.66,0.002767
dell,Vostro 3520 Laptop,943.69,5,16,512,15.6,2.5999999999999996,0.002755
lenovo,Lenovo Thinkpad,616.99,3.5,8,256,14,1.7,0.002755
dell,Latitude 7320 Detachable 2-in-1,750.74,4.6,8,128,13,2.065,0.002751
gigabyte,U4 UD-50US823SO,700.43,3.3,16,512,14,1.9200000000000002,0.002741
hp,HP Pavilion,729.99,2,32,1024,17.3,2,0.00274
hp,3N8P1UT#ABA,899,5,16,256,15.6,2.4499999999999997,0.002725
lenovo,Lenovo ThinkPad X1 Yoga I5,844.65,5,8,256,14,2.3,0.002723
dell,Dell Inspiron 15 3520,809,4,16,512,15.6,2.2,0.002719
lenovo,ThinkPad L480,699.99,4,8,256,14,1.9,0.002714
acer,Swift Go 14,799.99,4.3,8,512,14,2.17,0.002713
hp,HP Pavilion,849.99,5,8,256,15.6,2.3,0.002706
acer,Acer Swift X Laptop,999,4.5,16,1024,14,2.7,0.002703
dell,Dell Latitude 5520,1038.28,4,32,1024,15.6,2.8000000000000003,0.002697
acer,Acer Swift,599.99,2.9,8,512,14,1.6099999999999999,0.002683
asus,ASUS VivoBook 17X,743.66,3.8,8,512,17.3,1.97,0.002649
dell,Inspiron,888.99,3.6,16,1024,15.6,2.3400000000000003,0.002632
lenovo,e15,799,4.5,8,256,13,2.1,0.002628
apple,MacBook,779.95,4,8,512,12,2.05,0.002628
asus,ROG Strix G15,1044.77,4.6,16,1024,15.6,2.7399999999999998,0.002623
dell,Latitude 7330 Laptop,994.79,5,16,512,13.3,2.5999999999999996,0.002614
hp,HP Envy,815,4.2,8,512,13.3,2.13,0.002613
dell,Vostro,1381.99,3,64,2048,14,3.6000000000000005,0.002605
panasonic,CF-54,700,3.8,8,256,14,1.8199999999999998,0.0026
dell,XPS 9350,699.99,3.8,8,256,13.3,1.8199999999999998,0.0026
acer,SFX14-51G-71Y1,886.37,4.2,16,512,14,2.2800000000000002,0.002572
lenovo,Lenovo Thinkpad,895.3,5,8,256,14,2.3,0.002569
dell,XPS 9305 Laptop,798.94,4,8,512,13.3,2.05,0.002566
dell,Latitude,1481.86,5,32,2048,15.6,3.8,0.002564
msi,Thin GF63 12VE-066US,938,4.5,16,512,15.6,2.4,0.002559
dell,Latitude 3000,899,5,8,256,14,2.3,0.002558
microsoft,Laptop 4 13 i5/8GB/512GB ICE BLUE,865,4.4,8,512,13.5,2.21,0.002555
asus,VivoBook S15,933.45,3.7,16,1024,15.6,2.3800000000000003,0.00255
panasonic,CF-54,799.99,3.6,16,512,14,2.04,0.00255
dell,Dell Inspiron,919.99,3.6,16,1024,15.6,2.3400000000000003,0.002544
dell,Dell 5000,708.99,3,16,512,16,1.8000000000000003,0.002539
lenovo,ThinkPad X13 Yoga Gen 2,869.99,4,16,512,12.3,2.2,0.002529
dell,Dell Precision,1101.49,4.7,16,1024,13.4,2.7800000000000002,0.002524
dell,Dell Precision,1101.34,4.7,16,1024,13.4,2.7800000000000002,0.002524
dell,Inspiron 15 5000,899.81,3.8,8,1024,15.6,2.27,0.002523
dell,Latitude 7320 Detachable 2-in-1,1031.79,5,16,512,13,2.5999999999999996,0.00252
lenovo,IdeaPad Gaming 3,801.96,4.3,8,256,15.6,2.02,0.002519
acer,null,714.99,3,16,512,15.6,1.8000000000000003,0.002518
lenovo,Lenovo Ideapad,599,3,8,256,15.6,1.5,0.002504
asus,ASUS Rog Strix,979,5,8,512,15.6,2.4499999999999997,0.002503
lg,16Z90Q-K.AAS6U1,900.9,4.1,16,512,16,2.2399999999999998,0.002486
microsoft,Surface Laptop,799,4.2,8,256,15,1.98,0.002478
microsoft,Surface Laptop Go 2,689.99,3.5,8,256,12.4,1.7,0.002464
hp,Pavilion,1299,5,32,1024,15,3.2,0.002463
dell,Dell Inspiron,660,3.3,8,256,15.6,1.6199999999999999,0.002455
lenovo,20VK0019US,849,3.7,16,512,13.3,2.08,0.00245
acer,Chromebook Enterprise Spin 514 CP514-3WH,999.99,5,16,256,14,2.4499999999999997,0.00245
dell,Precision,1799.81,5,64,2048,15.6,4.4,0.002445
dell,Latitude,1436.81,5,16,2048,15.6,3.5,0.002436
acer,A515-57G-58R7,879.99,4.2,8,512,15.6,2.13,0.00242
dell,Inspiron 3515,1012.99,5,8,512,15.6,2.4499999999999997,0.002419
asus,VivoBook S 15,989.99,3.7,16,1024,15.6,2.3800000000000003,0.002404
hp,Intel Core i7,902.98,4.3,8,512,15.6,2.17,0.002403
asus,TUF Dash 15 (2021),940.47,4.5,8,512,15.6,2.25,0.002392
msi,GL66 12UGKV,1808.99,4.8,64,2048,15.6,4.32,0.002388
lenovo,Lenovo Thinkpad,799,4,8,256,15.6,1.9,0.002378
asus,VivoBook S 14X OLED,899.99,4.2,8,512,14.5,2.13,0.002367
toughbook,CF-54 MK1,749.89,3.3,8,512,14,1.77,0.00236
dell,V3500,943.69,4,16,512,15.6,2.2,0.002331
gigabyte,G5 KF-E3US333SH,879.99,4,8,512,15.6,2.05,0.00233
lenovo,"Lenovo Ideapad Gaming 3i 15""",934,4.3,8,512,15.6,2.17,0.002323
asus,TUF Gaming F15,999,4.3,16,512,15.6,2.32,0.002322
toughbook,CF-33 MK1,993.99,5,8,256,12,2.3,0.002314
asus,Vivobook S 14 Flip OLED,1099.99,4.1,16,1024,14,2.54,0.002309
toughbook,CF-20 mk1,999.99,5,8,256,10.1,2.3,0.0023
hp,EliteBook 655 G9,1137.02,5,16,512,15.6,2.5999999999999996,0.002287
asus,VivoBook S15,723.16,3,8,512,15.6,1.6500000000000001,0.002282
lenovo,Yoga C940-14IIL,899,4,8,512,14,2.05,0.00228
asus,TUF Gaming A15,1149,4.3,16,1024,15.6,2.62,0.00228
lenovo,20FN002JUS,750,3.7,4,256,14,1.705,0.002273
apple,MacBook Pro,965.08,4.7,8,256,13.3,2.18,0.002259
dell,Dell Inspiron,877.99,4.2,8,256,15.6,1.98,0.002255
asus,Zenbook 15,1299,4.3,32,1024,15.6,2.92,0.002248
msi,Prestige 13Evo A13M-050US,1299,4.3,32,1024,13.3,2.92,0.002248
hp,HP Envy,999.99,4.1,16,512,15.6,2.2399999999999998,0.00224
dell,Dell Latitude 7214 Rugged Laptop 2 In 1,899.95,3.9,8,512,11.6,2.01,0.002233
gigabyte,AORUS 17 XE4-73US514SH,1119.99,4,16,1024,17,2.5,0.002232
lenovo,ThinkPad X1 Carbon Gen 8,950.77,3.8,16,512,14,2.12,0.00223
dell,Latitude 3000,835.85,3.9,8,256,14,1.8599999999999999,0.002225
hp,Victus by HP 15.6 inch Gaming Laptop PC 15-fa1010nr,1169.99,5,16,512,15.6,2.5999999999999996,0.002222
dell,XPS 13 9320,1305.17,5,16,1024,13.4,2.9,0.002222
acer,Nitro 17,1199.99,4.4,16,1024,17.3,2.66,0.002217
asus,ASUS Chromebook Flip CX3,979.99,3.9,16,512,14,2.16,0.002204
dell,Latitude 5420,1182.71,5,16,512,14,2.5999999999999996,0.002198
microsoft,Surface Laptop,1084.66,4.4,16,512,15,2.36,0.002176
asus,Vivobook Pro 15,1399.99,4.6,32,1024,15.6,3.04,0.002171
asus,Zenbook Pro 17,999.99,4.3,8,512,17.3,2.17,0.00217
microsoft,Surface Laptop 4,1198.99,5,16,512,13.5,2.5999999999999996,0.002168
lenovo,IdeaPad,999,3.9,16,512,14,2.16,0.002162
lg,17Z95P-K.AAB9U1,1515.03,4.4,16,2048,17,3.26,0.002152
lenovo,ThinkBook 14s Yoga G2 IAP,1209,5,16,512,14,2.5999999999999996,0.002151
lenovo,Yoga 3 80JH0025US,699,3,8,256,14,1.5,0.002146
gigabyte,AORUS 15G XC-8US2430SH,1199.99,4.1,32,512,15,2.5399999999999996,0.002117
dell,Latitude 5000,1163.21,3.9,16,1024,13.3,2.46,0.002115
toughbook,CF-20,959,4.5,8,128,10.1,2.025,0.002112
dell,XPS 9315 Laptop,1041.99,4,16,512,13.4,2.2,0.002111
alienware,Alienware 15,999.95,3.4,8,1024,15.6,2.11,0.00211
lenovo,ThinkPad L15 Gen 3,1090.57,5,8,256,15.6,2.3,0.002109
acer,AN16-41-R1WE,1241.46,5,16,512,16,2.5999999999999996,0.002094
lg,16Z90P-K.AAB7U1,999,4.1,16,256,16,2.09,0.002092
asus,UX5304VA-XS76T,1399.99,4.3,32,1024,13.3,2.92,0.002086
asus,TUF Dash 15 (2022),1150.99,4.5,16,512,15.6,2.4,0.002085
dell,Dell XPS,1036.82,3.9,16,512,15.6,2.16,0.002083
dell,XPS 13 (9360),724.81,3.2,8,128,13.3,1.5050000000000001,0.002076
lenovo,null,724,3,8,256,13.3,1.5,0.002072
lenovo,82R70000US,869.99,3,16,512,14,1.8000000000000003,0.002069
