brand,model,screen_size,color,harddisk,cpu,ram(GB),OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,currency_symbol,harddisk_new_GB
microsoft,Surface Laptop,15.0,Platinum,512 GB,Intel Core i7,16,Windows 11 Home,"Backlit Keyboard, Support Stylus",Integrated,,,4.4,1084.66,$,512.0
asus,TUF Dash 15 (2022),15.0,Off Black,512 GB,Core i7,16,Windows 11 Home,Backlit Keyboard,RTX 3060,,,4.5,1150.99,$,512.0
asus,TUF Gaming A15,15.0,Mecha Gray,1 TB,Ryzen 7,16,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4050,,4.3,1149.0,$,1024.0
hp,14-dq0070nr,14.0,Pale rose gold,64 GB,Celeron N4020,4,Windows 11 S,Micro-edge Bezel,Integrated,,,4.3,199.99,$,64.0
asus,ROG Strix Scar 17,17.0,Off Black,1 TB,Ryzen 9,32,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4080,,4.1,2619.99,$,1024.0
acer,A3SP14-31PT-37NV,14.0,Silver,128 GB,Core i3,8,Windows 11 S,Pen,Integrated,,,4.5,426.64,$,128.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
asus,ASUS TUF Gaming F1,17.0,Graphite Black,512 GB,Core i5,8,Windows 11 Home,Numeric Keypad,RTX 3050,,,4.5,783.95,$,512.0
lenovo,IdeaPad Flex 5i Chromebook,13.0,Abyss Blue,128 GB,Core i3,8,Chrome OS,Anti Glare Coating,Integrated,,,4.4,479.0,$,128.0
hp,,15.0,Silver,1 TB,Intel Core i5,16,Windows 11,Anti-glare,Integrated,Intel UHD Graphics,,4.1,553.0,$,1024.0
dell,Dell Latitude,14.0,Black,512 GB,Core i7-8650U,16,Windows 10 Pro,TrackPoint,Integrated,,,4.0,399.0,$,512.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
acer,Swift Go 14,14.0,Silver,512 GB,Intel Core i7-1355U,16,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,,4.3,762.19,$,512.0
asus,VivoBook S 15,15.0,Midnight Black,1 TB,Core i9,16,Windows 11 Home,,Integrated,Intel Iris,,3.7,989.99,$,1024.0
apple,MacBook Pro,16.0,Space Gray,512 GB,ARM 7100,32,macOS 12 Monterey,,Integrated,M1 Pro,,4.7,1899.0,$,512.0
acer,Aspire 5,15.0,Silver,256 GB,AMD Ryzen 5 5500U,8,Windows 11,Backlit Keyboard,Integrated,,,4.4,488.94,$,256.0
apple,"2022 Apple MacBook Air M2, 16GB RAM, 512GB Storage - Midnight (Z160000B1)",13.0,,512 GB,Apple M1,16,macOS 12 Monterey,Fingerprint Reader,Integrated,Apple Integrated Graphics,,4.8,1459.94,$,512.0
hp,,14.0,Rose Gold,64 GB,Celeron N4000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,$,64.0
samsung,NP754XFG-KB1US,15.0,Silver,16 GB,Core i7,16,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,4.8,1099.99,$,16.0
microsoft,Surface Laptop Studio 2,14.0,Platinum,2 TB,Core i7-13700K,64,Windows 11 Home,Portable,NVIDIA® GeForce RTX™ 4060,,,,3699.99,$,2048.0
asus,Zenbook 15,15.0,Basalt Grey,1 TB,Ryzen 7,32,Windows 11 Home,Dolby,Integrated,,,4.3,1299.0,$,1024.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
apple,MacBook Pro,13.0,,256 GB,Apple M1,16,macOS 12 Monterey,,Integrated,,3.4 GHz,4.7,1457.99,$,256.0
hp,HP 15 scarlet red,15.0,Silver,1 TB,Celeron,16,Windows 11 Home,,Integrated,Intel UHD Graphics,,4.3,469.0,$,1024.0
gigabyte,G5 KF-E3US333SH,15.0,Black,512 GB,Core i5,8,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.0,879.99,$,512.0
asus,Vivobook 15X,15.0,Indie Black,1 TB,Ryzen 7,16,Windows 11 Home,,Integrated,AMD Radeon Graphics,,5.0,749.99,$,1024.0
acer,Chromebook Spin,11.0,Silver,64 GB,Celeron N4000,4,Chrome OS,,Integrated,intel,,4.5,226.0,$,64.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
asus,Zenbook Pro 14 Duo,14.0,Tech Black,1 TB,Core i9,32,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.0,2399.99,$,1024.0
asus,ASUS Chromebook C203XA,11.0,Grey,32 GB,MediaTek_MT8127,4,Chrome OS,Spill resistant,Integrated,,,4.3,184.62,$,32.0
msi,Stealth 17Studio A13VH-053US,17.0,,1 TB,Core i9,32,Windows 11 Home,Anti Glare Coating,RTX 4080,NVIDIA GeForce RTX 4080,,4.2,2793.89,$,1024.0
lenovo,Ideapad,15.0,Platinum Grey,256 GB,Intel Core i3,8,Windows 11 Home,Anti Glare Coating,Intel UHD Graphics,,,4.3,429.0,$,256.0
msi,MSI GF63,15.0,,512 GB,Core i5 Family,16,Windows 10 Home,Backlit Keyboard,Dedicated,Nvidia,,4.1,729.99,$,512.0
apple,"2022 Apple MacBook Air M2, 16GB RAM, 256GB Storage - Space Gray (Z15S000CT)",13.0,,256 GB,Apple M1,16,macOS 12 Monterey,,Integrated,,3.4,5.0,1255.94,$,256.0
hp,EliteBook 840,14.0,Silver,256 GB,Core i5 6200U,16,Windows 10 Pro,Anti Glare Coating,Integrated,,,4.0,1000.0,$,256.0
asus,ProArt StudioBook 16,16.0,,1 TB,Core i9,32,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4070,5.6 GHz,3.7,2499.99,$,1024.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
samsung,Chromebook 4+,15.0,Silver,64 GB,Celeron N3450,4,Chrome OS,,Integrated,,1.1 GHz,4.4,205.0,$,64.0
hp,"HP 14"" Chromebook",14.0,Dale Gray,128 GB,Core i3,8,Chrome OS,High Quality,Integrated,,,3.9,265.99,$,128.0
acer,Aspire 5,15.0,Silver,128 GB,Ryzen 3 3350U,4,Windows 11,"Fingerprint Reader, Backlit Keyboard",Integrated,,,4.5,367.29,$,128.0
razer,Razer Blade 14,14.0,,1 TB,Ryzen 9 7900X,16,Windows 11 Home,,RTX 4070,NVIDIA GeForce RTX 4070,,4.3,2699.99,$,1024.0
asus,VivoBook 15,15.0,Slate Gray,128 GB,Core i3-1005G1,8,Windows 10 Home,"Backlit Keyboard,Fingerprint,Nanoedge Bezel",Integrated,,,4.5,379.0,$,128.0
acer,PH16-71-74UU,16.0,Black,1 TB,Intel Core i7,16,Windows 11 Home,"Backlit Keyboard, Memory Card Slot",Dedicated,,,4.5,1649.99,$,1024.0
asus,ASUS ROG Zephyrus Duo 16,16.0,Black,1000 GB,Ryzen 7,16,Windows 11 Home,Anti Glare Coating,RTX 3060,,,4.3,1589.99,$,1000.0
asus,Vivobook Pro 15,15.0,Quiet Blue,1 TB,Ryzen 9,32,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.6,1399.99,$,1024.0
dell,XPS9310-7321WHT-SUS,13.0,White,512 GB,Core i7 Family,16,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,,4.1,1229.99,$,512.0
dell,Dell G15 5520,15.0,Shadow Grey,512 GB,Core i7 Family,16,Windows 11 Home,,Dedicated,,,4.2,1129.99,$,512.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
asus,Vivobook 14,14.0,Quiet Blue,256 GB,Core i5,8,Windows 11 Home,,Integrated,Intel Iris,,4.4,479.99,$,256.0
hp,HP Chromebook,16.0,Chalkboard Gray,32 GB,AMD A Series,4,Chrome OS,Backlit Keyboard,Dedicated,,,4.3,94.98,$,32.0
lg,17Z90R-A.ADB9U1,17.0,Black,2 TB,Intel Core i7,32,Windows 11 Home,,Dedicated,NVIDIA RTX3050,,3.7,2296.99,$,2048.0
asus,Vivobook 16X,16.0,Indie Black,1 TB,Core i9,32,Windows 11 Home,"Fingerprint Reader, HD Audio, Spill resistant, High Definition Audio, Anti Glare Coating","Integrated, Dedicated",,,3.5,1699.99,$,1024.0
asus,VivoBook Pro 16,16.0,Quiet Blue,1 TB,Core i9,16,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.0,1484.99,$,1024.0
dell,Latitude 5000,14.0,Black,512 GB,Core i5,16,Windows 11 Pro,"Anti-glare Screen, Water Resistant",Iris Xe Graphics,,,4.8,1666.4,$,512.0
hp,HP 15,15.0,Silver,256 GB,Core i5,12,Windows 11 S,"Touchscreen Laptop, Windows Laptop, i5 Laptop",Integrated,,,4.4,503.58,$,256.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
microsoft,Surface Laptop Go 2,12.0,Platinum,256 GB,Intel Core i5,8,Windows 11 Home,Fingerprint Reader,Integrated,,,4.4,529.0,$,256.0
hp,,14.0,Rose Gold,64 GB,Celeron N,8,Windows 11,Anti Glare Coating,,Intel HD Graphics 600,1.1 GHz,4.1,299.0,$,64.0
lenovo,"Lenovo 14"" Laptop",14.0,Blue,512 GB,Intel Core i7,16,Windows 11,"Backlit Keyboard,Fingerprint Reader",Integrated,,,3.7,535.99,$,512.0
lenovo,L14,14.0,Platinum Grey,128 GB,Pentium,4,Windows 11 S,,Integrated,Intel UHD Graphics 605,,4.0,191.87,$,128.0
msi,GF63 Thin,15.0,Black,256 GB,Unknown,8,Windows 10,Anti Glare Coating,Dedicated,,,4.6,600.51,$,256.0
apple,MacBook Pro,16.0,Space Gray,1 TB,Others,32,Mac OS,Backlit Keyboard,Dedicated,,,3.0,3059.0,$,1024.0
asus,ASUS Chromebook CX1,15.0,Silver,64 GB,Celeron N3350,8,Chrome OS,,Integrated,,2.4 GHz,4.1,247.05,$,64.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
acer,CP513-1H-S338,13.0,Silver,64 GB,Snapdragon,8,Chrome OS,Backlit Kb,Integrated,,,4.4,424.46,$,64.0
razer,Blade 16,16.0,Mercury,1 TB,Intel Core i9,32,Windows 11,,Dedicated,,,3.8,3611.89,$,1024.0
hp,HP ENVY,15.0,Black,1 TB,Ryzen 5,32,Windows 11,,Integrated,AMD Radeon Graphics,,4.3,685.0,$,1024.0
lg,16T90Q-K.AAG6U1,16.0,Green,512 GB,Core i5,16,Windows 11 Home,Lightweight,Intel XE,,,4.2,1284.93,$,512.0
hp,Pavilion x360,14.0,Natural Silver,256 GB,Core i5,8,Windows 10 Home,Backlit Keyboard,Integrated,,,4.5,570.0,$,256.0
hp,HP Laptop 17-cn0025nr,17.0,Natural silver,256 GB,Intel Core i5-1135G7,8,Windows 11 Home,"Anti Glare Coating, Memory Card Slot, Numeric Keypad",Integrated,,,4.5,576.99,$,256.0
lenovo,ThinkPad X1 Carbon Gen 11 Laptop PC,14.0,Touchscreen,1 TB,Core i7 Family,32,Windows 11 Pro,,Integrated,Intel Iris,,5.0,1949.99,$,1024.0
lg,16Z90RS-K.ADW8U1,16.0,Dynamic White,1 TB,Intel Core i7,32,Windows 11 Home,,Integrated,,5 GHz,4.3,1757.57,$,1024.0
hp,"HP 17.3""",17.0,,1 TB,Core i3,16,Windows 11,Anti-glare,Integrated,Intel UHD Graphics,,4.2,557.0,$,1024.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
msi,Vector GP77 13VG-096US,17.0,Cosmo Gray,1 TB,Core i9,32,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4070,,,1999.99,$,1024.0
lenovo,Thinkpad T480,14.0,Black,256 GB,Core i5,16,Windows 10 Pro,Fingerprint Reader,Integrated,,,4.1,219.0,$,256.0
asus,ProArt StudioBook 16,16.0,Mineral Black,32 GB,Core i9,32,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,2.5,2199.0,$,32.0
asus,Zenbook Pro 14 Duo,14.0,Tech Black,1 TB,Intel Core i9,32,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4050,,4.1,2299.99,$,1024.0
asus,VivoBook 16,16.0,Indie Black,512 GB,Ryzen 5,8,Windows 11 Home,Fingerprint Sensor,Integrated,,,4.6,561.0,$,512.0
lenovo,"Lenovo 14"" Laptop",14.0,Gray,256 GB,Pentium,4,Windows 11,,Integrated,Intel,,4.2,181.99,$,256.0
msi,Vector GP68HX 13VH-098US,16.0,Cosmo Gray,1 TB,Core i9,16,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4080,,5.0,2091.05,$,1024.0
asus,ASUS ZenBook Pro 16,16.0,Tech Black,2 TB,Core i9,32,Windows 11 Pro,Fingerprint reader,RTX 3060,,,4.2,2499.0,$,2048.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
asus,ASUS VivoBook Go 14,14.0,Quiet Blue,64 GB,Celeron,4,Windows 11 Home S,,Integrated,Intel UHD Graphics,,4.1,231.85,$,64.0
hp,HP Pavilion,14.0,Gold,256 GB,Intel Core i5-1135G7,8,Windows 11,Fingerprint Reader,Integrated,,,4.5,514.99,$,256.0
asus,ASUS ZenBook Pro Duo 15,15.0,Celestial Blue,1 TB,Core i9,32,Windows 10 Pro,Backlit Keyboard,RTX 3060,,,4.6,2849.0,$,1024.0
hp,,15.0,Silver,1000 GB,Intel Core i3,32,Windows 11,,Integrated,Intel,3 GHz,4.7,579.99,$,1000.0
asus,ASUS BR1100,11.0,Dark Grey,64 GB,Celeron,4,Windows 10 Pro,Anti Glare Coating,Integrated,,,4.1,279.99,$,64.0
lenovo,Lenovo Ideapad,15.0,Gray,256 GB,Intel Core i5-1135G7,12,Windows 11 Home,FHD Touch Screen,Integrated,,,4.3,561.99,$,256.0
lenovo,Lenovo Yoga 7i,16.0,Gray,256 GB,Intel Core i5,8,Windows 11 Home,Backlit Keyboard,Integrated,,,4.1,682.0,$,256.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
dell,Inspiron 14 5425,14.0,Pebble Green,512 GB,AMD Ryzen 7,8,Windows 11 Pro,Anti-glare,AMD Radeon Graphics,,,4.1,542.95,$,512.0
lenovo,ThinkPad,14.0,Black,512 GB,Intel Core i7,16,Windows 10 Pro,"Fingerprint Reader, HD Audio, Spill resistant, High Definition Audio, Anti Glare Coating",Integrated,,,4.2,1249.0,$,512.0
samsung,Galaxy Chromebook,13.0,Fiesta Red,256 GB,Core i5-10210U,8,Chrome OS,Support Stylus,Integrated,,,4.2,643.0,$,256.0
acer,CB317-1H-C6RK,17.0,Silver,128 GB,Celeron N,4,Chrome OS,Numeric Keypad,Integrated,,,3.5,328.67,$,128.0
dell,Inspiron 15 3530,15.0,Black,2 TB,Core i7 Family,64,Windows 11 Home,,Integrated,Intel Iris Xe Graphics,,4.2,1000.0,$,2048.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
lg,15Z90RT-K.ADB9U1,16.0,Neptune Blue,2 TB,Intel Core i7,32,Windows 11 Home,,Integrated,Intel Iris,,4.7,1899.0,$,2048.0
acer,A514-56M-576D,14.0,Gray,512 GB,Core i5,8,Windows 11 Home,Backlit Keyboard,Integrated,,,,499.99,$,512.0
